rule;support_2016Q1;support_2017Q1;support_2018Q1;support_2019Q1;support_2020Q1;support_2021Q1;support_2022Q1;support_2016Q2;support_2017Q2;support_2018Q2;support_2019Q2;support_2020Q2;support_2021Q2;support_2022Q2;support_2016Q3;support_2017Q3;support_2018Q3;support_2019Q3;support_2020Q3;support_2021Q3;support_2022Q3;support_2016Q4;support_2017Q4;support_2018Q4;support_2019Q4;support_2020Q4;support_2021Q4;support_2022Q4;lift_2016Q1;lift_2017Q1;lift_2018Q1;lift_2019Q1;lift_2020Q1;lift_2021Q1;lift_2022Q1;lift_2016Q2;lift_2017Q2;lift_2018Q2;lift_2019Q2;lift_2020Q2;lift_2021Q2;lift_2022Q2;lift_2016Q3;lift_2017Q3;lift_2018Q3;lift_2019Q3;lift_2020Q3;lift_2021Q3;lift_2022Q3;lift_2016Q4;lift_2017Q4;lift_2018Q4;lift_2019Q4;lift_2020Q4;lift_2021Q4;lift_2022Q4;disclosure;financial-reports;information-about-bank;annual-reports;covered-bonds;root-financial-indicators;information-for-shareholders;financial-statement;information-for-investors-except-shareholders
information-for-shareholders, annual-reports, information-about-bank:financial-reports, root-financial-indicators;;;;;;;;0,000704722;;;;;;;0,000481928;;;;;;;;0,000271887;;;;;;;;;;;;;34,66259542;;;;;;;38,66459627;;;;;;;;59,64324324;;;;;;1;1;1;1;0;1;1;0;0
financial-reports, covered-bonds, information-about-bank:annual-reports;0,008385022;0,008567058;0,006280459;0,006561906;;;;0,006871036;0,011320305;0,005739514;0,005609684;;;;0,002168675;0,012039455;0,007571863;0,004544727;;;;0,010730114;0,009969186;0,007956879;0,001638124;;;;5,287513728;4,044331395;4,883597864;4,704305443;;;;4,711275699;3,620691221;4,597253402;5,149372862;;;;6,610879484;4,341309824;5,462088333;4,956376904;;;;4,921744556;6,57568534;5,270562771;4,813620072;;;;1;1;1;1;1;0;0;0;0
information-for-shareholders, financial-reports, information-about-bank:annual-reports;;;;;;0,001212457;;;;;;;;;;;;;;0,000730588;;;;;;;;;;;;;;2,313421045;;;;;;;;;;;;;;2,237913752;;;;;;;;;1;1;1;1;0;0;1;0;0
covered-bonds, financial-statement, information-about-bank:annual-reports;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,341309824;;;;;;;;;;;;;1;0;1;1;1;0;0;1;0
financial-reports, covered-bonds, annual-reports, root-financial-indicators, information-for-shareholders:information-about-bank;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;0,000349895;0,000181258;;;;;;3,477184224;3,188617886;;;;;;1,857937807;;;;;;;;;;;;;;2,085623936;1,801175318;;;;;;1;1;1;1;1;1;1;0;0
information-for-shareholders, financial-reports, financial-statement:annual-reports, root-financial-indicators;;;;;;;;;0,000119161;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,27777778;;;;;;;;;;;;;;;;;;;;1;1;0;1;0;1;1;1;0
information-for-shareholders, covered-bonds, annual-reports:information-about-bank, root-financial-indicators;;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;;;;;;;;;33,92733564;;;;;;40,36266667;;;;;;;;;;;;;;;;;;;;;1;0;1;1;1;1;1;0;0
financial-reports, root-financial-indicators:information-about-bank;;;;;0,000311026;;;;;;;;;;;;;;0,000205648;;;;;;;;;;;;;;2,080116455;;;;;;;;;;;;;;1,480789727;;;;;;;;;;1;1;1;0;0;1;0;0;0
information-for-shareholders, covered-bonds, annual-reports:financial-reports;;0,000611933;;;;;;0,000440451;;;;;;;;;;;;;;;;;;;;;;7,333582648;;;;;;11,70309278;;;;;;;;;;;;;;;;;;;;;0;1;0;1;1;0;1;0;0
information-for-shareholders, annual-reports, financial-statement:financial-reports, information-about-bank, root-financial-indicators;0,000172295;;;;;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;87,93939394;;;;;;;;171,2653061;;;;;;;;;;;;;168,1176471;;;;;;;1;1;1;1;0;1;1;1;0
